Comment,Designator,Footprint,LCSC
"100nF","C1,C5,C6","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28233"
"1uF","C2","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C28323"
"22uF","C3","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","C52306"
"100nF","C4","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","C141218"
"22uF","C7,C8","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C45783"
"Conn_Coaxial_Power","J1","Connector_BarrelJack:BarrelJack_Horizontal",""
"Serial","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Right Panel","J3","TE-Connectivity:119542892",""
"Left Panel","J4","TE-Connectivity:119542892",""
"10k","R1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17414"
"Reset","SW1","Button_Switch_SMD:SW_SPST_B3U-1000P","C231329"
"Boot Option","SW2","Button_Switch_SMD:SW_SPST_B3U-1000P","C231329"
"AMS1117-3.3","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6186"
"ESP32-WROOM-32E","U2","Espressif:ESP32-WROOM-32E","C701343"